datetime,kWh,kVA Demand
01/06/2023 00:30:00,13.75,27.544
01/06/2023 01:00:00,14.65,29.54
01/06/2023 01:30:00,14.62,29.415
01/06/2023 02:00:00,14.68,29.597
01/06/2023 02:30:00,14.09,28.26
01/06/2023 03:00:00,15.08,30.317
01/06/2023 03:30:00,14.88,29.909
01/06/2023 04:00:00,14.03,28.141
01/06/2023 04:30:00,15.19,30.735
01/06/2023 05:00:00,16,32.062
01/06/2023 05:30:00,35.47,72.626
01/06/2023 06:00:00,43.88,102.917
01/06/2023 06:30:00,46.21,107.711
01/06/2023 07:00:00,56.51,124.72
01/06/2023 07:30:00,62.53,136.644
01/06/2023 08:00:00,62.72,137.177
01/06/2023 08:30:00,61.67,134.483
01/06/2023 09:00:00,64.92,141.728
01/06/2023 09:30:00,64.35,139.385
01/06/2023 10:00:00,66.05,142.568
01/06/2023 10:30:00,64.43,139.486
01/06/2023 11:00:00,64.57,139.57
01/06/2023 11:30:00,66.36,142.624
01/06/2023 12:00:00,66.28,142.387
01/06/2023 12:30:00,65.96,141.975
01/06/2023 13:00:00,66.22,142.8
01/06/2023 13:30:00,66.36,143.038
01/06/2023 14:00:00,66.72,143.706
01/06/2023 14:30:00,65.46,140.847
01/06/2023 15:00:00,66.48,143.104
01/06/2023 15:30:00,65.18,140.252
01/06/2023 16:00:00,65.35,140.342
01/06/2023 16:30:00,64.37,138.503
01/06/2023 17:00:00,65.48,141.301
01/06/2023 17:30:00,64.83,139.44
01/06/2023 18:00:00,61.96,134.396
01/06/2023 18:30:00,62.42,135.632
01/06/2023 19:00:00,63.77,138.283
01/06/2023 19:30:00,62.11,135.291
01/06/2023 20:00:00,60.65,132.858
01/06/2023 20:30:00,60.96,133.883
01/06/2023 21:00:00,60.59,131.897
01/06/2023 21:30:00,50.88,104.635
01/06/2023 22:00:00,47.66,97.122
01/06/2023 22:30:00,29.29,58.675
01/06/2023 23:00:00,19.04,38.135
01/06/2023 23:30:00,16.94,34.147
02/06/2023 00:00:00,14.65,29.345
02/06/2023 00:30:00,15.08,30.454
02/06/2023 01:00:00,14.53,29.2
02/06/2023 01:30:00,15.14,30.598
02/06/2023 02:00:00,14.6,29.321
02/06/2023 02:30:00,14.82,29.83
02/06/2023 03:00:00,14.02,28.099
02/06/2023 03:30:00,15.51,31.242
02/06/2023 04:00:00,14.86,29.898
